pid,category name,Brand,Title,Rating,number reviews,URL,Price,Currency
9200000129072631,Muziekinstrumenten,MAX,Keyboard met 61 fullsize toetsen - MAX KB4 - trainingsfunctie - 24 demo songs en 500 geluidseffecten,3.7,11,/nl/nl/p/keyboard-met-61-fullsize-toetsen-max-kb4-trainingsfunctie-24-demo-songs-en-500-geluidseffecten/9200000129072631/,69.95,€
9200000027960200,Muziekinstrumenten,Merkloos,Universele  gitaarstandaard,4.6,26,/nl/nl/p/universele-gitaarstandaard/9200000027960200/,17.9,€
9300000014813881,Muziekinstrumenten,MAX,Keyboard piano - MAX KB8 Keyboard met 49 toetsen - draagbaar - Perfect om keyboard te leren spelen! - Zwart,5.0,2,/nl/nl/p/keyboard-piano-max-kb8-keyboard-met-49-toetsen-draagbaar-perfect-om-keyboard-te-leren-spelen-zwart/9300000014813881/,49.95,€
9200000127637168,Muziekinstrumenten,Eggy,"Luxe Aluminium Gitaar Capo / Klem - Capodaster Akoestische, Klassieke & Elektrische Guitar - Ukelel Akoestisch / Elektrisch / Klassiek - Deluxe Zwart",5.0,4,/nl/nl/p/luxe-aluminium-gitaar-capo-klem-capodaster-akoestische-klassieke-elektrische-guitar-ukelel-akoestisch-elektrisch-klassiek-deluxe-zwart/9200000127637168/,0.0,€
9200000083834369,Muziekinstrumenten,Merkloos,Verstelbare Gitaarstandaard Statief - Basgitaar / Elektrische / Akoestische / Klassieke Gitaar Standaard Houder - Zwart,3.9,22,/nl/nl/p/verstelbare-gitaarstandaard-statief-basgitaar-elektrische-akoestische-klassieke-gitaar-standaard-houder-zwart/9200000083834369/,0.0,€
9200000102183613,Muziekinstrumenten,Jim Dunlop,Dunlop Plectrum Tortex SET 0.50mm-1.14mm 6-pack,4.3,6,/nl/nl/p/dunlop-plectrum-tortex-set-0-50mm-1-14mm-6-pack/9200000102183613/,5.99,€
9200000124098517,Muziekinstrumenten,Merkloos,Twee stuks - Dubbel pack - Gitaar Wandbeugel \xe2\x80\x93 Muurbeugel \xe2\x80\x93 Gitaar standaard \xe2\x80\x93 Hanger \xe2\x80\x93 Haak \xe2\x80\x93 Wandsteun - Guitar Stand \xe2\x80\x93 Viool \xe2\x80\x93 Basgitaar - Ukelele - muurhaak,4.2,6,/nl/nl/p/twee-stuks-dubbel-pack-gitaar-wandbeugel-muurbeugel-gitaar-standaard-hanger-haak-wandsteun-guitar-stand-viool-basgitaar-ukelele-muurhaak/9200000124098517/,9.5,€
9300000051424321,Muziekinstrumenten,JaxStarz.com,JaxStarz.com Guitar Capo - Professioneel Gitaar Capo - Veerspanning Instelbaar,5.0,3,/nl/nl/p/jaxstarz-com-guitar-capo-professioneel-gitaar-capo-veerspanning-instelbaar/9300000051424321/,0.0,€
9300000003020897,Muziekinstrumenten,RYTMZ\xc2\xae,RYTMZ Handpan Drum | 28 cm | Koper | Meditatie | Klanktherapie | Sound Healing | Handpan | Steel tongue drum | Goud,4.4,29,/nl/nl/p/rytmz-handpan-drum-28-cm-koper-meditatie-klanktherapie-sound-healing-handpan-steel-tongue-drum-goud/9300000003020897/,157.0,€
9200000131629832,Muziekinstrumenten,ECOSTARE,Gitaar Plectrum Set in Koffer met 30 plectrums - Plectrumset - Verschillende Diktes & kleuren van Plectrums -  Voor Gitaar - Guitar Picks + Opbergdoos - 30 STUKS,4.8,4,/nl/nl/p/gitaar-plectrum-set-in-koffer-met-30-plectrums-plectrumset-verschillende-diktes-kleuren-van-plectrums-voor-gitaar-guitar-picks-opbergdoos-30-stuks/9200000131629832/,0.0,€
9200000093525106,Muziekinstrumenten,Bam,"Bam Artisto, vioolkist, vioolkoffer, 4/4, zwart",0.0,0,/nl/nl/p/bam-artisto-vioolkist-vioolkoffer-4-4-zwart/9200000093525106/,260.0,€
9200000107367808,Muziekinstrumenten,Wittner,"Metronoom, mechanisch",0.0,0,/nl/nl/p/metronoom-mechanisch/9200000107367808/,58.0,€
9300000060798678,Muziekinstrumenten,Zing Je Mee,Lax Vox siliconenslang,5.0,1,/nl/nl/p/lax-vox-siliconenslang/9300000060798678/,12.95,€
9300000019923330,Muziekinstrumenten,ISOTR,Keyboard Piano met Microfoon - 61 toetsen - Piano Keyboard - Keyboard Piano Muziekinstrument - Keyboard met Microfoon,2.8,4,/nl/nl/p/keyboard-piano-met-microfoon-61-toetsen-piano-keyboard-keyboard-piano-muziekinstrument-keyboard-met-microfoon/9300000019923330/,34.98,€
9200000105682219,Muziekinstrumenten,Generation,Generation kazoo,5.0,1,/nl/nl/p/generation-kazoo/9200000105682219/,5.65,€
9200000069118499,Muziekinstrumenten,Ernie Ball,Ernie Ball Super Slinky Electrisch 6stuk(s) Staal Gitaar,5.0,5,/nl/nl/p/ernie-ball-super-slinky-electrisch-6stuk-staal-gitaar/9200000069118499/,0.0,€
9300000004690837,Muziekinstrumenten,MAX,"Keyboard piano - MAX KB4SET complete starterset - MAX KB4 keyboard piano, bankje, keyboardstandaard, hoofdtelefoon en keyboard stickers",4.6,13,/nl/nl/p/keyboard-piano-max-kb4set-complete-starterset-max-kb4-keyboard-piano-bankje-keyboardstandaard-hoofdtelefoon-en-keyboard-stickers/9300000004690837/,133.95,€
